Expt	Ctrl
Col0_flg22_1h	Col0_mock_1h
Col0_flg22_12h	Col0_mock_12h
C4G2A_L1_3_flg22_1h	C4G2A_L1_3_mock_1h
C4G2A_L1_3_flg22_12h	C4G2A_L1_3_mock_12h
C4G2A_L7_7_flg22_1h	C4G2A_L7_7_mock_1h
C4G2A_L7_7_flg22_12h	C4G2A_L7_7_mock_12h
cas1_flg22_1h	cas1_mock_1h
cas1_flg22_12h	cas1_mock_12h
C4G2A_L1_3_flg22_1h	Col0_flg22_1h
C4G2A_L1_3_flg22_12h	Col0_flg22_12h
C4G2A_L7_7_flg22_1h	Col0_flg22_1h
C4G2A_L7_7_flg22_12h	Col0_flg22_12h
cas1_flg22_1h	Col0_flg22_1h
cas1_flg22_12h	Col0_flg22_12h
C4G2A_L1_3_mock_1h	Col0_mock_1h
C4G2A_L1_3_mock_12h	Col0_mock_12h
C4G2A_L7_7_mock_1h	Col0_mock_1h
C4G2A_L7_7_mock_12h	Col0_mock_12h
cas1_mock_1h	Col0_mock_1h
cas1_mock_12h	Col0_mock_12h
