	Length
AT1G01010	1688
AT1G01020	1774
AT1G01030	1905
AT1G01040	6254
AT1G01046	207
AT1G01050	976
AT1G01060	3234
AT1G01070	1450
AT1G01073	111
AT1G01080	1322
AT1G01090	1627
AT1G01100	679
AT1G01110	1851
AT1G01115	117
AT1G01120	1899
AT1G01130	375
AT1G01140	1707
AT1G01150	1178
AT1G01160	1147
AT1G01170	515
AT1G01180	1176
AT1G01183	101
AT1G01190	1608
AT1G01200	982
AT1G01210	616
AT1G01220	3532
AT1G01225	1025
AT1G01230	832
AT1G01240	1941
AT1G01250	840
AT1G01260	2664
AT1G01270	72
AT1G01280	1602
AT1G01290	1227
AT1G01300	1822
AT1G01305	601
AT1G01310	977
AT1G01320	6079
AT1G01340	2535
AT1G01350	1400
AT1G01355	687
AT1G01360	1000
AT1G01370	992
AT1G01380	568
AT1G01390	1687
AT1G01400	1145
AT1G01410	1086
AT1G01420	1520
AT1G01430	1642
AT1G01440	2221
AT1G01448	2481
AT1G01450	1413
AT1G01453	1254
AT1G01460	1452
AT1G01470	727
AT1G01471	216
AT1G01480	1986
AT1G01490	1168
AT1G01500	1461
AT1G01510	2155
AT1G01520	864
AT1G01530	752
AT1G01540	1989
AT1G01550	1559
AT1G01560	1710
AT1G01570	1437
AT1G01580	2409
AT1G01590	2115
AT1G01600	2163
AT1G01610	1856
AT1G01620	1308
AT1G01630	1203
AT1G01640	994
AT1G01650	2220
AT1G01660	1707
AT1G01670	1411
AT1G01680	965
AT1G01690	1692
AT1G01695	1302
AT1G01700	1458
AT1G01710	2492
AT1G01720	1316
AT1G01725	453
AT1G01730	910
AT1G01740	1688
AT1G01750	769
AT1G01760	1312
AT1G01770	2362
AT1G01780	939
AT1G01790	3892
AT1G01800	1098
AT1G01810	639
AT1G01820	1048
AT1G01830	2522
AT1G01840	822
AT1G01860	1350
AT1G01870	73
AT1G01880	1996
AT1G01890	73
AT1G01900	2460
AT1G01910	1635
AT1G01920	1946
AT1G01930	1999
AT1G01940	736
AT1G01950	3058
AT1G01960	5495
AT1G01970	1649
AT1G01980	1828
AT1G01990	1176
AT1G02000	1781
AT1G02010	2460
AT1G02020	2333
AT1G02030	1938
AT1G02040	975
AT1G02050	1312
AT1G02060	2177
AT1G02065	2006
AT1G02070	604
AT1G02074	147
AT1G02080	7566
AT1G02090	1659
AT1G02100	1435
AT1G02110	2314
AT1G02120	1974
AT1G02130	1021
AT1G02136	192
AT1G02140	785
AT1G02145	1724
AT1G02150	1910
AT1G02160	567
AT1G02170	1336
AT1G02180	918
AT1G02190	2173
AT1G02205	2392
AT1G02210	264
AT1G02220	1353
AT1G02228.1	789
AT1G02230	1081
AT1G02250	1089
AT1G02260	2146
AT1G02270	1645
AT1G02280	1174
AT1G02290	1695
AT1G02300	1227
AT1G02305	1407
AT1G02310	1390
AT1G02320	147
AT1G02330	1058
AT1G02335	832
AT1G02340	1253
AT1G02350	423
AT1G02360	1011
AT1G02370	1758
AT1G02380	1121
AT1G02390	1791
AT1G02391	156
AT1G02400	1339
AT1G02405	527
AT1G02410	1176
AT1G02420	1476
AT1G02430	698
AT1G02440	573
AT1G02450	541
AT1G02460	1805
AT1G02470	868
AT1G02475	929
AT1G02480	73
AT1G02490	117
AT1G02500	1533
AT1G02510	1086
AT1G02520	3871
AT1G02530	3998
AT1G02540	873
AT1G02550	729
AT1G02560	1341
AT1G02570	906
AT1G02575	898
AT1G02580	2291
AT1G02590	270
AT1G02600	72
AT1G02610	937
AT1G02620	687
AT1G02630	1609
AT1G02640	2584
AT1G02650	1542
AT1G02660	2609
AT1G02670	2037
AT1G02680	907
AT1G02681	510
AT1G02690	1940
AT1G02700	1030
AT1G02710	291
AT1G02720	1835
AT1G02730	3854
AT1G02740	1319
AT1G02750	1000
AT1G02760	73
AT1G02770	1218
AT1G02780	1031
AT1G02790	1658
AT1G02800	1764
AT1G02810	1906
AT1G02813	612
AT1G02816	1009
AT1G02820	615
AT1G02830	384
AT1G02840	1594
AT1G02850	1804
AT1G02860	1517
AT1G02870	843
AT1G02880	1682
AT1G02890	4131
AT1G02900	579
AT1G02910	1557
AT1G02920	925
AT1G02930	1078
